volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_liver,seg_spleen
KORA2461206,16818,16834,16832,16823,16826,16836,16822,16834,16821,16816,105668,105589,105588,105668,105620,105643,105667,105651,105535,105557,1267512,201924
KORA2461338,15163,15168,15165,15164,15169,15166,15164,15166,15164,15159,147091,147042,147136,147077,147037,147124,147100,147003,147051,147085,1764708,181944
KORA2456241,12207,12200,12187,12191,12198,12204,12185,12185,12185,12190,86171,86146,86132,86131,86188,86163,86127,86186,86164,86132,1033692,146340
KORA2459972,6077,6112,6067,6073,6085,6130,6121,6113,6171,6092,131404,131366,131413,131374,131424,131424,131342,131367,131212,131417,1576500,73392
KORA2455525,12885,12883,12886,12889,12890,12889,12883,12885,12879,12882,165556,165513,165519,165543,165469,165544,165641,165571,165539,165597,1986672,154668
KORA2452316,6286,6293,6278,6272,6275,6277,6292,6269,6284,6285,95540,95572,95433,95524,95530,95497,95496,95465,95493,95488,1146048,75348
KORA2461632,16478,16440,16463,16487,16440,16436,16475,16472,16474,16444,158432,158357,158368,158351,158446,158345,158454,158413,158405,158380,1900992,197532
KORA2460472,19358,19351,19345,19358,19352,19353,19357,19359,19351,19359,125709,125695,125680,125716,125704,125723,125705,125704,125709,125702,1508568,232308
KORA2459067,17285,17298,17298,17285,17295,17286,17293,17289,17282,17295,115435,115447,115403,115450,115439,115441,115422,115389,115417,115405,1385280,207504
KORA2452206,14077,14069,14080,14059,14078,14065,14070,14057,14055,14064,85406,85396,85379,85413,85398,85389,85435,85367,85388,85367,1024788,168768
KORA2460315,10356,10345,10346,10362,10303,10328,10329,10324,10313,10341,158414,158394,158407,158384,158423,158400,158417,158401,158425,158381,1900776,123984
KORA2462119,16383,16373,16376,16391,16376,16385,16384,16386,16386,16377,156882,156939,156915,156859,156954,156878,156920,156911,156866,156857,1882812,196572
KORA2457401,24086,24083,24081,24084,24066,24077,24097,24061,24073,24080,178413,178381,178261,178233,178208,178282,178222,178111,178098,178261,2138988,288936
KORA2462380,23845,23812,23841,23817,23854,23809,23826,23850,23816,23825,172551,172604,172470,172696,172634,172685,172693,172627,172624,172542,2071152,285888
KORA2461577,6011,6022,6014,6012,6025,6013,6018,6020,6021,6019,105202,105250,105199,105270,105186,105241,105265,105247,105177,105303,1262664,72120
KORA2458265,32660,32682,32663,32686,32627,32416,32620,32558,32561,32646,278992,278981,279049,278972,278914,279054,278932,279087,279061,278938,3348204,391344
KORA2452353,18554,18549,18546,18553,18553,18558,18553,18539,18548,18547,176665,176609,176653,176675,176698,176636,176637,176746,176636,176641,2119932,222588
KORA2459873,12953,12941,12950,12936,12930,12919,12949,12959,12958,12934,143191,143182,143153,143139,143175,143244,143073,143200,143157,143158,1718064,155316
KORA2456917,13481,13488,13477,13449,13509,13495,13457,13455,13482,13448,112082,112139,112105,112136,112199,112148,112192,112089,112231,112233,1345788,161628
KORA2459123,7554,7563,7548,7561,7555,7559,7565,7563,7542,7566,134097,134099,134082,134144,134086,134072,134054,134043,134089,134076,1609104,90660
KORA2453363,25990,25990,25991,25987,25982,25991,25990,25972,25976,25989,125541,125562,125535,125606,125565,125565,125586,125574,125592,125554,1506984,311808
KORA2455296,11100,11087,11104,11047,11092,11110,11114,11096,11088,11121,173777,173898,173901,173787,173886,173781,173780,173696,173797,173820,2085960,133212
KORA2461555,21568,21572,21570,21575,21573,21581,21561,21582,21586,21572,129067,129105,129055,129056,129087,129055,129104,129080,129070,129060,1548852,258948
KORA2457044,22754,22764,22759,22755,22756,22747,22762,22756,22764,22760,194568,194688,194601,194624,194513,194467,194550,194541,194629,194666,2335116,273060
KORA2460633,18667,18655,18685,18667,18686,18675,18685,18681,18692,18678,110882,110886,110867,110833,110859,110908,110937,110883,110931,110903,1330704,224076
KORA2456021,19776,19766,19767,19752,19738,19765,19783,19735,19743,19764,162222,162209,162241,162195,162215,162214,162251,162272,162222,162260,1946676,237120
KORA2453172,14801,14793,14800,14799,14794,14801,14800,14791,14802,14793,130748,130866,130893,130694,130897,130776,130808,130900,130704,130848,1569864,177576
KORA2452129,15870,15867,15868,15863,15874,15870,15873,15874,15859,15866,117231,117248,117225,117235,117239,117230,117227,117208,117213,117196,1406556,190404
KORA2453136,30198,30217,30214,30204,30211,30221,30177,30231,30247,30201,185968,185843,186125,186068,185952,185864,186098,185902,185996,186043,2232264,362616
KORA2459605,15365,15345,15328,15344,15350,15351,15355,15349,15353,15352,129774,129812,129777,129820,129806,129812,129817,129815,129794,129815,1557792,184104
KORA2452687,13400,13393,13401,13403,13393,13398,13389,13387,13408,13386,132639,132590,132584,132655,132596,132627,132563,132605,132630,132627,1591488,160752
KORA2455935,3173,3163,3123,3178,3202,3136,3160,3184,3169,3130,132736,132771,132788,132671,132716,132729,132794,132710,132737,132730,1592724,37896
KORA2452812,7201,7202,7172,7185,7181,7186,7214,7199,7186,7208,82553,82554,82581,82576,82587,82561,82570,82587,82547,82530,990780,86364
KORA2460565,23108,23105,23111,23117,23094,23127,23114,23137,23124,23148,143894,143908,143882,143891,143898,143916,143936,143834,143908,143874,1726776,277476
KORA2452941,14467,14482,14479,14465,14485,14503,14473,14475,14476,14468,156956,156981,156953,157017,156942,156983,156984,156980,156974,156970,1883580,173808
KORA2460830,18172,18116,18164,18166,18190,18173,18139,18165,18191,18157,140399,140467,140362,140481,140463,140591,140519,140532,140474,140397,1685340,218064
KORA2460824,19754,19748,19747,19744,19759,19749,19749,19739,19749,19753,127578,127604,127554,127563,127593,127579,127592,127587,127568,127620,1530972,236976
KORA2456672,25772,25735,25753,25756,25749,25741,25782,25770,25781,25761,192722,192544,192404,192446,192482,192580,192553,192516,192559,192588,2310528,309132
KORA2460903,19097,19089,19087,19092,19090,19108,19083,19101,19079,19098,147807,147791,147767,147816,147807,147809,147779,147728,147834,147790,1773372,229140
KORA2453306,18919,18935,18929,18922,18918,18937,18929,18923,18915,18919,156485,156536,156501,156526,156503,156542,156557,156529,156487,156534,1878264,227112
KORA2453194,10336,10341,10331,10330,10365,10354,10363,10359,10345,10370,116863,116849,116852,116893,116887,116835,116876,116881,116882,116948,1402512,124224
KORA2460889,14036,14031,14021,14031,14025,14021,14031,14022,14035,14026,132042,132023,132000,131967,132090,132056,132045,131973,132028,132085,1584396,168360
KORA2453578,12071,12073,12076,12068,12084,12061,12081,12064,12070,12079,171511,171463,171449,171471,171472,171455,171484,171502,171496,171534,2057808,144924
KORA2460504,10620,10615,10608,10609,10614,10617,10622,10617,10620,10613,109150,109137,109133,109137,109143,109125,109176,109165,109110,109161,1309752,127368
KORA2460216,20959,20915,20978,20898,20908,20914,20963,20959,20904,20965,153747,153764,153617,153809,153747,153799,153716,153802,153697,153855,1845648,251208
KORA2452409,16579,16618,16635,16654,16653,16635,16565,16692,16591,16631,109718,109816,109742,109645,109690,109874,109877,109758,109802,109581,1317012,199656
KORA2452190,14572,14571,14583,14584,14579,14580,14581,14593,14574,14579,177418,177472,177374,177370,177390,177392,177480,177403,177427,177419,2128956,174948
KORA2453290,23550,23553,23557,23554,23559,23546,23554,23554,23545,23532,107689,107736,107642,107701,107670,107629,107700,107732,107757,107760,1292484,282576
