volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_spleen,seg_liver
KORA2459310,16623,16688,16662,16677,16761,16776,16869,16652,16685,16711,130523,130580,130448,130443,131053,130838,130664,130432,130348,130433,130509,16700
KORA2460145,19386,18704,19067,18897,18355,19108,18594,18817,18769,18494,141465,141537,141923,141533,142878,141427,142565,141765,142456,141726,141514,18554
KORA2458068,14426,14504,14541,14517,14326,14452,14581,14284,14450,14462,207252,206984,206850,207421,207422,207598,206912,207181,207144,207597,207142,14382
KORA2460779,21039,20737,20992,21122,20989,20790,21175,20809,21099,20687,110131,109566,109550,109911,110106,109101,110156,111339,108798,110304,109649,21032
KORA2453765,15567,16285,15825,16464,16276,16480,15648,16414,16061,16258,144369,145469,144392,144128,144029,143716,144587,146094,144698,145180,144487,16050
KORA2461349,24474,24583,24524,24357,24343,24620,24390,24388,24603,24181,157970,157737,156229,157632,157324,158259,156738,157726,157970,157736,156970,24421
KORA2452659,23448,23512,23666,23638,23594,23638,23510,23312,23447,23490,213021,212948,212837,213109,213340,212706,213611,212528,212814,212304,212596,23517
KORA2452338,16076,15885,16370,16166,16022,16057,16219,16113,16230,16068,147880,146419,148212,147425,147712,148078,147322,147051,147712,147387,147567,16123
KORA2462093,13696,13689,13631,13903,13884,13838,13615,13736,13874,13533,145939,146030,145707,145640,145943,146629,145437,146145,146129,145811,145743,13681
KORA2456340,16704,16633,16496,16167,16277,16186,15993,16577,16306,16060,118248,117027,117312,118473,116767,117843,117660,118982,118035,117333,116944,16121
KORA2453833,6867,6820,6867,6838,6815,6780,6796,6868,6902,6896,155021,154774,154389,154419,155160,153807,154458,155130,154231,154419,154371,6812
KORA2461146,16819,16850,16903,16949,16821,16901,16951,16880,16822,16957,161073,162217,161682,161571,161153,161370,161025,161694,161030,161368,161532,16859
KORA2459745,18545,18295,18509,18492,18550,18342,18286,18375,18414,18406,193993,194010,193172,194345,194963,194306,194308,192247,194234,192872,193371,18398
KORA2460543,12194,12269,12157,12190,12216,12213,12278,12182,12269,12362,102375,102054,102053,102489,102114,102131,102000,102088,101957,102362,102142,12218
KORA2461184,11690,11650,11694,11817,11592,11667,11664,11715,11670,11759,129702,130091,129693,129547,130145,129734,129340,130013,129501,129535,129721,11653
